,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
71,70,Bobby Portis,NYK,25,66,21,45,21.1,102.3,110.2,-7.9,11.2,1.34,12.3,5.3,18.0,11.4,9.1,50.7,53.0,20.7,101.25,10.8
72,70,Damian Lillard,POR,29,66,33,33,37.5,115.7,114.3,1.4,33.5,2.73,23.2,1.3,9.2,5.3,8.5,56.3,62.7,29.4,102.12,16.8
73,70,Dario Saric,PHX,26,66,32,34,24.7,110.8,112.0,-1.2,10.5,1.40,15.3,6.0,18.6,12.3,10.9,55.4,59.2,17.4,102.60,9.9
74,70,Dejounte Murray,SAS,23,66,29,37,25.6,109.2,113.5,-4.2,23.2,2.17,25.0,4.0,18.4,11.2,11.6,49.4,52.4,20.7,101.68,11.1
75,70,Donte DiVincenzo,MIL,23,66,53,13,23.0,111.9,99.6,12.2,13.4,1.71,19.4,4.1,14.0,9.3,11.3,53.6,55.7,16.8,107.06,10.2
76,70,Evan Fournier,ORL,27,66,28,38,31.4,107.7,109.5,-1.8,16.0,1.67,15.5,0.8,7.4,4.0,9.3,56.0,59.5,23.7,99.95,9.7
77,70,Georges Niang,UTA,27,66,41,25,14.0,107.1,108.1,-1.1,6.9,1.47,10.8,1.5,11.7,6.6,7.4,57.8,58.9,16.3,102.12,8.0
78,70,Isaac Bonga,WAS,20,66,22,44,18.9,106.5,106.9,-0.4,8.1,1.31,18.9,5.2,12.1,8.5,14.4,55.8,60.8,10.6,103.84,6.2
79,70,Jakob Poeltl,SAS,24,66,30,36,17.7,114.5,108.9,5.7,12.6,2.15,24.7,10.8,19.4,15.2,11.5,62.4,61.2,12.5,103.94,10.7
80,70,Jayson Tatum,BOS,22,66,46,20,34.3,114.2,103.5,10.6,14.3,1.29,11.7,2.7,16.5,9.6,9.0,52.7,56.7,28.0,100.63,14.3
81,70,Langston Galloway,DET,28,66,20,46,25.8,107.7,112.1,-4.4,8.9,2.53,14.3,1.9,6.8,4.3,5.7,55.7,58.4,14.9,100.17,7.5
82,70,Patty Mills,SAS,31,66,28,38,22.5,113.1,109.0,4.1,11.2,2.19,14.5,1.4,5.4,3.5,6.6,56.0,59.2,19.3,104.29,8.2
83,70,Robin Lopez,MIL,32,66,51,15,14.5,103.7,103.1,0.6,6.8,0.71,10.5,5.4,9.2,7.4,14.7,55.0,55.4,16.1,106.53,6.0
84,85,Cedi Osman,CLE,25,65,19,46,29.4,106.3,115.2,-9.0,11.5,1.69,17.2,2.0,10.3,6.0,10.2,53.8,55.2,16.2,100.30,6.5
85,85,Coby White,CHI,20,65,22,43,25.8,104.4,108.8,-4.4,16.2,1.61,15.5,1.5,12.8,6.7,9.7,47.8,50.6,23.5,102.51,8.7
86,85,Collin Sexton,CLE,21,65,19,46,33.0,107.8,117.0,-9.2,14.6,1.22,12.4,2.8,6.9,4.8,10.2,51.7,56.0,26.4,100.37,9.5
87,85,Daniel Theis,BOS,28,65,42,23,24.1,111.0,104.0,7.0,10.4,2.06,17.4,8.6,17.2,12.9,8.5,60.3,63.1,14.4,100.04,10.8
