,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,Bruno Fernando,ATL,21,1.6,2.3,66.4,0.1,0.4,30.0,0.1,0.2,55.6,0.0,0.0,0.0,0.0,0.4,10.5,0.1,0.3,16.7,,,
52,Bryn Forbes,SAS,26,0.5,0.8,58.8,0.2,0.6,42.9,0.2,0.4,46.2,0.4,0.9,45.6,0.7,1.8,38.9,1.8,4.7,39.0,,,
53,Buddy Hield,SAC,27,1.6,2.6,62.6,0.2,0.8,31.5,0.4,1.0,36.6,0.7,1.5,45.4,1.7,4.2,39.5,2.4,6.0,39.3,,,
54,CJ McCollum,POR,28,2.3,4.3,52.6,0.9,2.1,41.4,1.2,2.4,51.5,1.3,2.5,49.4,1.5,3.3,44.3,1.6,4.7,35.1,,,
55,CJ Miles,WAS,33,0.6,1.5,40.0,0.1,0.4,25.0,0.0,0.1,0.0,0.0,0.2,0.0,0.5,1.3,38.5,0.7,2.3,30.4,,,
56,Caleb Martin,CHA,24,0.8,1.9,40.0,0.1,0.2,33.3,0.0,0.0,0.0,0.1,0.2,25.0,0.5,1.1,47.1,0.7,1.3,56.5,,,
57,Caleb Swanigan,POR,23,0.8,1.2,70.0,0.2,0.3,50.0,0.1,0.2,40.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
58,Cam Reddish,ATL,20,1.4,2.8,50.0,0.3,0.7,36.6,0.2,0.7,33.3,0.3,0.9,30.8,0.7,2.0,32.2,0.9,2.4,35.5,,,
59,Cameron Johnson,PHX,24,0.9,1.5,63.5,0.1,0.2,33.3,0.1,0.3,31.3,0.1,0.3,33.3,1.1,2.6,41.2,0.8,2.3,36.6,,,
60,Cameron Payne,PHX,25,1.3,2.1,58.8,0.3,0.6,40.0,0.5,1.3,40.0,0.3,0.6,40.0,0.4,1.5,25.0,1.5,2.4,63.2,,,
61,Caris LeVert,BKN,25,2.9,5.5,52.2,0.9,2.4,35.8,1.0,2.4,41.7,0.4,0.8,43.2,0.5,1.6,31.1,1.3,3.4,37.7,,,
62,Carmelo Anthony,POR,36,1.6,3.1,51.1,0.4,0.9,49.1,1.2,2.8,43.3,0.8,2.2,35.2,1.0,2.4,41.8,0.7,1.9,36.6,,,
63,Carsen Edwards,BOS,22,0.2,0.6,30.4,0.0,0.2,0.0,0.0,0.1,0.0,0.3,0.5,64.3,0.2,0.8,29.6,0.5,1.5,32.7,,,
64,Cedi Osman,CLE,25,1.7,3.0,57.3,0.2,0.7,33.3,0.2,0.5,36.4,0.0,0.2,30.0,0.8,1.8,43.1,1.1,3.1,36.3,,,
65,Chandler Hutchison,CHI,24,2.1,3.8,54.7,0.3,0.8,34.8,0.1,0.2,33.3,0.0,0.1,0.0,0.3,0.8,39.1,0.1,0.5,20.0,,,
66,Chandler Parsons,ATL,31,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,33.3,0.6,2.0,30.0,,,
67,Charles Brown Jr.,ATL,23,0.2,0.7,33.3,0.1,0.4,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,50.0,,,
68,Chasson Randle,GSW,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,,,
69,Cheick Diallo,PHX,23,1.6,2.2,74.3,0.1,0.3,30.8,0.2,0.3,53.8,0.1,0.3,41.7,0.0,0.0,50.0,0.0,0.0,0.0,,,
70,Chimezie Metu,SAS,23,0.8,1.0,77.8,0.3,0.6,44.4,0.1,0.3,50.0,0.3,0.4,66.7,0.0,0.2,0.0,0.0,0.1,0.0,,,
71,Chris Boucher,TOR,27,1.6,2.7,59.4,0.1,0.2,50.0,0.0,0.1,25.0,0.0,0.0,0.0,0.2,0.6,28.9,0.5,1.4,34.1,,,
72,Chris Chiozza,BKN,24,0.7,1.7,41.7,0.1,0.2,75.0,0.1,0.3,37.5,0.1,0.3,28.6,0.3,0.7,47.4,0.6,1.8,35.3,,,
73,Chris Clemons,HOU,22,0.5,0.8,57.7,0.1,0.1,100,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.3,40.0,1.0,2.9,34.4,,,
74,Chris Paul,OKC,35,0.9,1.3,73.3,0.6,1.1,52.6,1.6,3.0,53.6,1.4,2.8,50.8,0.4,1.2,36.0,1.1,3.0,38.3,,,
75,Chris Silva,MIA,23,1.0,1.5,66.7,0.1,0.2,50.0,0.1,0.1,50.0,0.0,0.1,50.0,0.0,0.1,0.0,0.0,0.0,0.0,,,
76,Christian Wood,DET,24,3.2,4.4,73.5,0.3,0.9,32.7,0.1,0.3,27.8,0.2,0.3,47.4,0.4,0.9,39.3,0.5,1.4,40.0,,,
77,Clint Capela,ATL,26,5.7,8.6,67.1,0.5,1.3,37.3,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
78,Coby White,CHI,20,1.8,3.7,49.2,0.2,0.7,34.8,0.2,0.5,40.0,0.3,0.9,30.0,0.8,2.2,36.4,1.4,4.1,35.6,,,
79,Cody Martin,CHA,24,1.4,2.2,61.9,0.0,0.1,28.6,0.0,0.1,0.0,0.0,0.2,28.6,0.2,1.0,19.6,0.2,0.8,29.7,,,
80,Cody Zeller,CHA,27,3.6,5.7,62.5,0.4,1.0,37.5,0.0,0.2,15.4,0.0,0.0,100,0.1,0.2,41.7,0.2,1.1,22.2,,,
81,Collin Sexton,CLE,21,3.8,6.6,57.6,1.0,2.5,39.0,1.0,2.2,47.2,0.6,1.3,41.9,0.4,1.0,41.2,1.1,3.0,36.5,,,
82,Corey Brewer,SAC,34,0.4,0.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,,
83,Cory Joseph,SAC,28,0.7,1.3,58.9,0.3,0.8,42.1,0.2,0.6,35.6,0.2,0.5,36.8,0.5,1.3,36.5,0.4,1.2,34.5,,,
84,Courtney Lee,DAL,34,0.5,0.6,73.3,0.2,0.4,50.0,0.0,0.1,0.0,0.1,0.3,42.9,0.7,1.3,53.3,0.2,0.8,27.8,,,
85,Cristiano Felicio,CHI,27,1.5,2.1,70.2,0.0,0.0,0.0,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
86,D'Angelo Russell,MIN,24,1.3,2.0,65.2,0.6,1.6,34.2,1.0,2.5,39.8,1.4,2.6,53.0,0.9,2.1,41.1,2.6,7.0,36.6,,,
87,D.J. Augustin,ORL,32,1.1,2.3,49.2,0.2,0.7,27.5,0.4,0.8,51.1,0.3,0.8,37.2,0.3,0.8,31.3,1.0,2.6,37.2,,,
88,D.J. Wilson,MIL,24,0.7,1.0,69.4,0.1,0.3,37.5,0.1,0.2,28.6,0.1,0.2,50.0,0.3,0.7,46.2,0.2,1.3,14.3,,,
89,DaQuan Jeffries,SAC,22,0.8,1.1,78.6,0.3,0.4,60.0,0.0,0.0,0.0,0.1,0.3,50.0,0.2,1.1,16.7,0.3,0.6,42.9,,,
90,Damian Jones,ATL,25,2.1,2.8,74.8,0.0,0.2,22.2,0.0,0.0,0.0,0.0,0.1,33.3,0.0,0.1,25.0,0.0,0.0,0.0,,,
91,Damian Lillard,POR,29,4.0,6.9,58.3,0.2,0.7,28.6,0.4,1.0,41.8,0.5,1.1,47.9,0.7,1.9,38.1,2.7,6.8,40.0,,,
92,Damion Lee,GSW,27,1.2,2.2,57.5,0.4,0.9,43.2,0.6,1.3,43.5,0.4,1.0,40.4,0.6,1.6,33.8,1.2,3.4,34.7,,,
93,Damyean Dotson,NYK,26,0.5,0.9,59.1,0.1,0.2,33.3,0.1,0.2,40.0,0.3,0.9,37.5,0.6,1.6,36.5,0.9,2.3,39.3,,,
94,Daniel Gafford,CHI,21,2.1,2.9,74.2,0.0,0.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
95,Daniel Theis,BOS,28,2.6,3.7,69.4,0.3,0.6,45.0,0.2,0.4,50.0,0.1,0.3,47.1,0.1,0.4,24.0,0.4,1.1,37.5,,,
96,Danilo Gallinari,OKC,31,1.4,2.5,57.9,0.2,0.8,27.5,0.4,0.9,46.3,0.5,1.1,39.4,1.2,2.7,44.6,2.0,5.0,40.5,,,
97,Danny Green,LAL,33,0.7,1.1,63.2,0.2,0.3,52.2,0.1,0.3,52.6,0.1,0.3,18.2,1.0,2.5,41.1,0.8,2.4,32.1,,,
98,Dante Exum,CLE,24,0.9,1.7,54.2,0.2,0.5,50.0,0.0,0.0,100,0.0,0.0,0.0,0.1,0.4,21.4,0.3,0.8,42.9,,,
99,Danuel House Jr.,HOU,27,1.4,2.3,63.2,0.1,0.3,22.7,0.1,0.2,36.4,0.0,0.1,20.0,1.2,3.0,39.2,0.9,2.6,33.3,,,
100,Dario Saric,PHX,26,1.9,3.1,61.7,0.3,0.6,42.9,0.1,0.3,47.1,0.2,0.4,48.1,0.4,1.3,32.5,1.0,2.5,38.7,,,
101,Darius Bazley,OKC,20,1.0,2.0,48.8,0.2,0.5,32.3,0.0,0.1,22.2,0.0,0.1,28.6,0.4,1.2,32.9,0.5,1.2,36.8,,,
102,Darius Garland,CLE,20,1.2,2.7,44.0,0.6,1.3,48.6,0.7,1.5,43.8,0.4,1.1,34.9,0.7,1.8,37.1,1.2,3.1,37.4,,,
103,Daryl Macon,MIA,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,33.3,0.0,0.0,0.0,,,
104,David Nwaba,HOU,27,1.2,1.8,65.7,0.1,0.4,28.6,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.7,42.9,0.3,0.7,42.9,,,
105,Davis Bertans,WAS,27,0.8,1.4,58.4,0.1,0.3,22.2,0.2,0.4,45.0,0.1,0.3,35.3,0.6,1.4,43.6,2.8,6.9,39.8,,,
106,De'Aaron Fox,SAC,22,4.1,6.7,61.2,1.1,2.5,44.9,0.8,2.0,39.4,0.5,0.9,52.2,0.5,1.8,28.1,0.7,2.1,33.0,,,
107,De'Andre Hunter,ATL,22,1.6,3.0,53.2,0.3,0.9,31.6,0.3,0.9,38.2,0.2,0.7,31.8,1.0,2.6,39.5,1.0,2.8,36.2,,,
108,De'Anthony Melton,MEM,22,1.3,2.3,58.0,0.3,0.7,38.6,0.2,0.4,37.5,0.1,0.5,25.8,0.4,1.1,32.8,0.4,1.6,26.9,,,
109,DeAndre Jordan,BKN,31,3.3,4.9,68.2,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,,,
110,DeAndre' Bembry,ATL,25,1.7,3.0,58.3,0.3,0.6,40.7,0.1,0.2,57.1,0.0,0.0,0.0,0.2,0.8,22.9,0.2,0.7,24.1,,,
111,DeMar DeRozan,SAS,30,3.4,5.0,68.2,1.5,2.9,50.0,1.5,3.4,46.1,1.4,3.0,45.6,0.4,0.8,42.1,0.0,0.3,16.7,,,
112,DeMarre Carroll,HOU,33,0.4,0.7,56.3,0.2,0.5,36.4,0.2,0.3,66.7,0.0,0.0,0.0,0.3,0.6,50.0,0.0,0.8,5.3,,,
113,Dean Wade,CLE,23,0.6,0.8,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.1,0.2,50.0,,,
114,Deandre Ayton,PHX,21,5.4,8.1,67.0,0.9,2.2,43.9,1.1,2.6,41.8,0.6,1.7,32.8,0.1,0.2,37.5,0.1,0.2,28.6,,,
115,Dejounte Murray,SAS,23,1.8,3.3,53.2,0.4,1.1,37.5,0.8,1.5,51.0,0.8,1.9,43.8,0.4,1.0,40.6,0.3,0.8,33.3,,,
116,Delon Wright,DAL,28,1.6,2.7,59.6,0.2,0.9,28.6,0.1,0.2,33.3,0.0,0.1,42.9,0.2,0.7,34.6,0.4,1.0,39.7,,,
117,Dennis Schroder,OKC,26,2.6,4.2,60.8,0.4,1.0,41.3,0.8,1.9,42.9,1.1,2.4,45.5,0.8,1.7,47.3,1.3,3.5,36.4,,,
118,Dennis Smith Jr.,NYK,22,1.1,2.3,49.4,0.2,0.6,30.0,0.1,0.4,30.8,0.1,0.8,17.9,0.2,1.2,19.0,0.3,0.9,35.5,,,
119,Denzel Valentine,CHI,26,0.2,0.4,50.0,0.4,0.9,45.2,0.5,0.9,50.0,0.3,0.5,73.3,0.5,1.3,38.6,0.8,2.5,33.0,,,
120,Deonte Burton,OKC,26,0.8,1.4,55.6,0.0,0.2,14.3,0.0,0.1,0.0,0.0,0.2,16.7,0.1,0.6,15.8,0.2,0.8,25.8,,,
121,Derrick Favors,NOP,28,3.5,5.1,69.3,0.2,0.7,34.3,0.2,0.4,50.0,0.1,0.4,33.3,0.0,0.1,20.0,0.0,0.0,0.0,,,
122,Derrick Jones Jr.,MIA,23,2.4,3.4,72.3,0.1,0.3,26.7,0.0,0.1,25.0,0.0,0.0,0.0,0.4,1.6,28.9,0.2,0.6,33.3,,,
123,Derrick Rose,DET,31,3.7,6.1,60.8,1.0,2.2,46.4,1.0,2.0,48.5,0.6,1.5,40.5,0.5,1.0,49.0,0.6,2.2,26.1,,,
124,Derrick Walton Jr.,DET,25,0.1,0.1,66.7,0.0,0.0,0.0,0.1,0.1,66.7,0.2,0.4,44.4,0.1,0.4,20.0,0.3,0.6,57.1,,,
125,Derrick White,SAS,25,1.5,2.6,57.6,0.6,1.0,55.1,0.2,0.6,37.2,0.2,0.6,42.1,0.4,1.0,36.6,0.8,2.2,37.4,,,
126,Devin Booker,PHX,23,3.4,5.0,68.5,0.7,1.7,44.0,1.7,3.4,49.4,0.9,2.1,44.8,0.7,1.8,36.2,1.5,4.2,35.2,,,
127,Devon Hall,OKC,24,0.2,0.5,40.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.1,0.5,20.0,0.3,1.2,25.0,,,
