,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
324,Langston Galloway,DET,65,20,45,25.9,10.4,27.2,21.1,0.9,2.00,1.32,0.381,0.4,0.0,0.4,0.655,0.000,0.333
325,Larry Nance Jr.,CLE,56,16,40,26.3,10.1,45.1,26.2,1.5,2.06,0.93,0.224,2.9,1.4,5.8,0.389,0.354,0.788
326,Lauri Markkanen,CHI,50,18,32,29.8,14.7,45.3,25.5,1.4,1.82,1.00,0.325,1.3,1.0,2.6,0.889,0.520,1.008
327,LeBron James,LAL,67,50,17,34.6,25.3,91.7,38.6,7.4,4.85,3.85,0.277,1.7,3.9,2.6,0.557,0.447,0.884
328,Lonnie Walker IV,SAS,60,28,32,16.1,6.2,20.2,12.2,1.0,2.92,2.13,0.308,0.1,0.0,0.7,0.286,0.000,0.718
329,Lonzo Ball,NOP,62,26,36,32.0,11.6,82.7,35.2,4.7,3.38,2.55,0.140,0.4,0.2,1.6,0.360,0.333,0.646
330,Lou Williams,LAC,65,44,21,28.7,18.2,61.9,24.7,5.0,4.83,3.98,0.295,0.2,0.0,0.4,0.267,0.000,0.808
331,Louis King,DET,10,3,7,6.2,2.0,7.8,4.6,0.3,2.30,1.36,0.256,0.0,0.0,0.2,0.000,0.000,2.000
332,Luc Mbah a Moute,HOU,3,1,2,8.2,1.7,9.0,3.0,0.4,2.37,1.63,0.185,0.0,0.0,0.3,0.000,0.000,2.000
333,Luguentz Dort,OKC,36,26,10,22.8,6.8,18.8,13.4,0.6,1.98,1.36,0.361,0.3,0.0,0.9,1.200,0.000,0.788
334,Luka Doncic,DAL,59,34,25,33.4,28.6,95.8,33.8,8.9,5.56,5.12,0.298,0.5,1.2,1.7,0.567,0.639,0.939
335,Luka Samanic,SAS,3,1,2,16.1,5.3,26.7,14.0,0.7,1.55,0.79,0.200,0.3,0.7,0.7,0.000,1.000,2.000
336,Luke Kennard,DET,27,11,16,32.9,16.1,51.1,37.2,2.7,3.22,2.26,0.315,0.3,0.0,0.7,0.286,0.000,0.900
337,Luke Kornet,CHI,36,11,25,15.5,6.0,21.3,14.9,0.5,1.48,0.62,0.281,1.1,0.2,2.4,0.487,1.000,0.954
